conceptId,Primary Source,conceptId,Secondary Source,conceptId,Source Question,conceptId,Question Text,Variable Label,Variable Name,Variable Type,Variable Length,conceptId,Format/Value,Required,PII,Notes
,Biospecimen,,Collection,,,,Serum Separator Tube 6 (scan in tube),Serum Separator Tube 6 ID,BioCol_0022_v1r0,Char,14,,Example: CXA000001 0001,Yes,No,
,Biospecimen,,Collection,,,,Serum Separator Tube 7 (scan in tube),Serum Separator Tube 7 ID,BioCol_0031_v1r0,Char,14,,Example: CXA000001 0001,Yes,No,
,Biospecimen,,Collection,,,,Serum Separator Tube 8 (scan in tube),Serum Separator Tube 8 ID,BioCol_0032_v1r0,Char,14,,Example: CXA000001 0001,Yes,No,
,Biospecimen,,Collection,,,,Heparin Tube 1 (scan in tube),Heparin Tube 1 ID,BioCol_0003_v1r0,Char,14,,Example: CXA000001 0001,Yes,No,
,Biospecimen,,Collection,,,,Heparin Tube 2 (scan in tube),Heparin Tube 2 ID,BioCol_0013_v1r0,Char,14,,Example: CXA000001 0001,Yes,No,
,Biospecimen,,Collection,,,,EDTA Tube 1 (scan in tube),EDTA Tube 1 ID,BioCol_0004_v1r0,Char,14,,Example: CXA000001 0001,Yes,No,
,Biospecimen,,Collection,,,,EDTA Tube 2 (scan in tube),EDTA Tube 2 ID,BioCol_0014_v1r0,Char,14,,Example: CXA000001 0001,Yes,No,
,Biospecimen,,Collection,,,,EDTA Tube 3 (scan in tube),EDTA Tube 3 ID,BioCol_0024_v1r0,Char,14,,Example: CXA000001 0001,Yes,No,
,Biospecimen,,Collection,,,,ACD Tube 1 (scan in tube),ACD Tube 1 ID,BioCol_0005_v1r0,Char,14,,Example: CXA000001 0001,Yes,No,
,Biospecimen,,Collection,,,,Additional Label Used,Additional Label Used,BioCol_AddLabel_v1r0,Num,1,,0 = No,Yes - if used,No,"Default is No, should be check if additional labels are used.  This probably needs to be added to the dashboard."
,,,,,,,,,,,,,1 = Yes,,,
,Biospecimen,,Collection,,,,Biohazard Bag scan,Biohazard Bag (Blood or Blood/Urine) ID,BioCol_0008_v1r0,Char,14,,Example: CXA000001 0001,,,
,Biospecimen,,Collection,,,,Additional notes on Collection,Collection notes,BioCol_ColNote1_v1r0,Char,800,,N/A,No,No,
,Biospecimen,,Collection,,,,"Date/Time samples collected, automatically populated when next is hit at the end of the Collection Data Entry page prior to reason selection and additional comments.",Collection Date/Time,BioCol_ColTime_v1r0,ISO,24,,example: 2020-07-17T15:21:26.763Z,Yes,No,Note: This is pushed from Epic for the Clinical samples
,Biospecimen,,Collection,,,,Regional Lab Receipt ,Regional Lab Receipt ,BioReg_AtReg_v1r0,Num,1,,0 = No,Yes,No,
,,,,,,,,,,,,,1 = Yes,,,
,Biospecimen,,Collection,,,,Autogenerated date/time when scanned at regional lab - automatically populated when next is hit at the end of the Collection Data Entry page prior to reason selection and additional comments.,Date/Time scanned at Regional  Lab,BioReg_ArRegTime_v1r0,ISO,24,,example: 2020-07-17T15:21:26.763Z,Yes,No,ISO to be converted to SAS format
,Biospecimen,,Collection,,Deviation? (Select all that apply),,Not collected - short draw,Not collected - short draw,BioCol_NotCol_v1r0_short,Num,1,,0 = No,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no
,,,,,,,,,,,,,1 = Yes,,,
,Biospecimen,,Collection,,Deviation? (Select all that apply),,Not collected - participant refusal,Not collected - participant refusal,BioCol_NotCol_v1r0_refuse,Num,1,,0 = No,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no
,,,,,,,,,,,,,1 = Yes,,,
,Biospecimen,,Collection,,Deviation? (Select all that apply),,Not collected - participant unable,Not collected - participant unable,BioCol_NotCol_v1r0_Unable,Num,1,,0 = No,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no
,,,,,,,,,,,,,1 = Yes,,,
,Biospecimen,,Collection,,Deviation? (Select all that apply),,Not collected - other,Not collected - other,BioCol_NotCol_v1r0_Other,Num,1,,0 = No,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no
,,,,,,,,,,,,,1 = Yes,,,
,Biospecimen,,Collection,,Deviation? (Select all that apply),,Deviation- Broken,Deviation- Broken,BioCol_Dev_v1r0_Broken,Num,1,,0 = No,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no
,,,,,,,,,,,,,1 = Yes,,,
,Biospecimen,,Collection,,Deviation? (Select all that apply),,Deviation- Centrifuge -  did not clot at least 30 minutes,Deviation- Centrifuge -  did not clot at least 30 minutes,BioCol_Dev_v1r0_ClotS,Num,1,,0 = No,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no
,,,,,,,,,,,,,1 = Yes,,,
,Biospecimen,,Collection,,Deviation? (Select all that apply),,Deviation- Centrifuge -  clotted for longer than 2 hours,Deviation- Centrifuge -  clotted for longer than 2 hours,BioCol_Dev_v1r0_ClotL,Num,1,,0 = No,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no
,,,,,,,,,,,,,1 = Yes,,,
,Biospecimen,,Collection,,Deviation? (Select all that apply),,Deviation- Centrifuge - Improper speed/force setting used (too high),Deviation- Centrifuge - Improper speed/force setting used (too high),BioCol_Dev_v1r0_SpeedH,Num,1,,0 = No,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no
,,,,,,,,,,,,,1 = Yes,,,
,Biospecimen,,Collection,,Deviation? (Select all that apply),,Deviation- Centrifuge - Improper speed/force setting used (too low),Deviation- Centrifuge - Improper speed/force setting used (too low),BioCol_SpeedL_v1r0_SpeedL,Num,1,,0 = No,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no
,,,,,,,,,,,,,1 = Yes,,,
,Biospecimen,,Collection,,Deviation? (Select all that apply),,Deviation- Centrifuge - improper time of spinning (too long),Deviation- Centrifuge - improper time of spinning (too long),BioCol_Dev_v1r0_TimeL,Num,1,,0 = No,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no
,,,,,,,,,,,,,1 = Yes,,,
,Biospecimen,,Collection,,Deviation? (Select all that apply),,Deviation- Centrifuge - improper time of spinning (too short),Deviation- Centrifuge - improper time of spinning (too short),BioCol_Dev_v1r0_TimeS,Num,1,,0 = No,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no
,,,,,,,,,,,,,1 = Yes,,,
,Biospecimen,,Collection,,Deviation? (Select all that apply),,Deviation- Failed/broken gel layer,Deviation- Failed/broken gel layer,BioCol_Dev_v1r0_Gel,Num,1,,0 = No,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no
,,,,,,,,,,,,,1 = Yes,,,
,Biospecimen,,Collection,,Deviation? (Select all that apply),,Deviation- Hemolyzed,Deviation- Hemolyzed,BioCol_Dev_v1r0_Hemo,Num,1,,0 = No,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no
,,,,,,,,,,,,,1 = Yes,,,
,Biospecimen,,Collection,,Deviation? (Select all that apply),,Deviation-Improper temperature - too low/frozen (record time and temperature Deviation in the comments) ,Deviation-Improper temperature - too low/frozen ,BioCol_Dev_v1r0_TempL,Num,1,,0 = No,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no
,,,,,,,,,,,,,1 = Yes,,,
,Biospecimen,,Collection,,Deviation? (Select all that apply),,Deviation- Improper temperature - too high (record time and temperature Deviation in the comments) ,Deviation- Improper temperature - too high ,BioCol_Dev_v1r0_TempH,Num,1,,0 = No,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no
,,,,,,,,,,,,,1 = Yes,,,
,Biospecimen,,Collection,,Deviation? (Select all that apply),,Deviation - Insufficient volume - not enough volume to transfer to urine tube (discard),Deviation- Insufficient volume,BioCol_Dev_v1r0_UrVol,Num,1,,0 = No,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no
,,,,,,,,,,,,,1 = Yes,,,
,Biospecimen,,Collection,,Deviation? (Select all that apply),,Deviation- Leaked/spilled ,Deviation- Leaked/spilled ,BioCol_Dev_v1r0_Leak,Num,1,,0 = No,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no
,,,,,,,,,,,,,1 = Yes,,,
,Biospecimen,,Collection,,Deviation? (Select all that apply),,Deviation- Lipemia,Deviation- Lipemia,BioCol_Dev_v1r0_Lipem,Num,1,,0 = No,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no
,,,,,,,,,,,,,1 = Yes,,,
,Biospecimen,,Collection,,Deviation? (Select all that apply),,Deviation- Low volume - (tube/container partially filled but still usable),Deviation- Low volume - (tube/container partially filled but still usable),BioCol_Dev_v1r0_LowVol,Num,1,,0 = No,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no
,,,,,,,,,,,,,1 = Yes,,,
,Biospecimen,,Collection,,Deviation? (Select all that apply),,Deviation- Mislabeled,Deviation- Mislabeled,BioCol_Dev_v1r0_Label,Num,1,,0 = No,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no
,,,,,,,,,,,,,1 = Yes,,,
,Biospecimen,,Collection,,Deviation? (Select all that apply),,Deviation- Urine hat used,Deviation- Urine hat used,BioCol_Dev_v1r0_Hat,Num,1,,0 = No,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no
,,,,,,,,,,,,,1 = Yes,,,
,Biospecimen,,Collection,,Deviation? (Select all that apply),,Deviation- Other,Deviation- Other,BioCol_Dev_v1r0_Other,Num,1,,0 = No,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no
,,,,,,,,,,,,,1 = Yes,,,
,Biospecimen,,Collection,,,,Discard Flag,Discard flag,BioCol_Discard_v1r0,Num,1,,0 = No,Autoflag as yes if Deviation-broken = YES,No,"Default is no, Autoflag as yes if BioCol_Dev_v1r0_Broken = YES or if BioCol_Dev_v1r0_Volume = YES"
,,,,,,,,,,,,,1 = Yes,,,
,Biospecimen,,Collection,,,,Provide Deviation Details,Deviation Details,BioCol_DeviationNotes_v1r0,Char,800,,N/A,No,No,
,Biospecimen,,Receipt Summary/Finalize Collection Data Entry,,,,Additional Notes (Optional),Additional Notes (Optional),BioRec_NoteOpt_v1r0,Char,800,,N/A,No,No,
,Biospecimen,,Receipt Summary,,,,Autogenerated flag - go to shipping,Go to shipping,BioRec_ShipFlag_v1r0,Num,1,,0 = No,Yes,No,
,,,,,,,,,,,,,1 = Yes,,,
,Biospecimen,,Receipt Summary,,,,Autogenerated date/time when go to shipping,Date/Time go to shipping,BioRec_ShipTime_v1r0,ISO,24,,example: 2020-07-17T15:21:26.763Z,Yes,No,ISO to be converted to SAS format
